5,a0ad2c34-aff3-a974-a4ca-61003721ac93,SRID=4326;POINT(36.065907 120.395027),36.065907,120.395027
1,a0ad2c34-aff3-a974-a4ca-61003721ac93,SRID=4326;POINT(36.0661815 120.394966),36.0661815,120.394966
3,a0ad2c34-aff3-a974-a4ca-61003721ac93,SRID=4326;POINT(36.0662615 120.395054),36.0662615,120.395054
35,a0ad2c34-aff3-a974-a4ca-61003721ac93,SRID=4326;POINT(36.066269 120.3950765),36.066269000000005,120.3950765
1,a0ad2c34-aff3-a974-a4ca-61003721ac93,SRID=4326;POINT(36.066294 120.3950385),36.066294,120.3950385
33,a0ad2c34-aff3-a974-a4ca-61003721ac93,SRID=4326;POINT(36.066288 120.3950575),36.066288,120.39505750000001
2,a0ad2c34-aff3-a974-a4ca-61003721ac93,SRID=4326;POINT(36.0664013333333 120.395052666667),36.06640133333334,120.39505266666667
1,a0ad2c34-aff3-a974-a4ca-61003721ac93,SRID=4326;POINT(36.0663973333333 120.395065333333),36.066397333333335,120.39506533333333
7,a0ad2c34-aff3-a974-a4ca-61003721ac93,SRID=4326;POINT(36.0663846666667 120.395078),36.06638466666667,120.39507800000001
1,a0ad2c34-aff3-a974-a4ca-61003721ac93,SRID=4326;POINT(36.0664023333333 120.395080333333),36.066402333333336,120.39508033333334
16,a0ad2c34-aff3-a974-a4ca-61003721ac93,SRID=4326;POINT(36.066355 120.395252),36.066355,120.395252
94,a0ad2c34-aff3-a974-a4ca-61003721ac93,SRID=4326;POINT(36.066401 120.395214),36.066401,120.39521400000001
1,a0ad2c34-aff3-a974-a4ca-61003721ac93,SRID=4326;POINT(36.066391 120.395252),36.066391,120.395252
1,a0ad2c34-aff3-a974-a4ca-61003721ac93,SRID=4326;POINT(36.0663075 120.3952905),36.0663075,120.3952905
6,a0ad2c34-aff3-a974-a4ca-61003721ac93,SRID=4326;POINT(36.0665001666667 120.394446),36.06650016666667,120.394446
25,a0ad2c34-aff3-a974-a4ca-61003721ac93,SRID=4326;POINT(36.06692123 120.39437103),36.06692123,120.39437103
21,a0ad2c34-aff3-a974-a4ca-61003721ac93,SRID=4326;POINT(36.0664631666667 120.394564333333),36.06646316666667,120.39456433333332
1,a0ad2c34-aff3-a974-a4ca-61003721ac93,SRID=4326;POINT(36.06649175 120.39491075),36.066491750000004,120.39491075000001
2,a0ad2c34-aff3-a974-a4ca-61003721ac93,SRID=4326;POINT(36.066603 120.394863),36.066603,120.394863
1,a0ad2c34-aff3-a974-a4ca-61003721ac93,SRID=4326;POINT(36.06662275 120.39497375),36.06662275,120.39497375
3,a0ad2c34-aff3-a974-a4ca-61003721ac93,SRID=4326;POINT(36.0666295 120.3949755),36.066629500000005,120.3949755
1,a0ad2c34-aff3-a974-a4ca-61003721ac93,SRID=4326;POINT(36.0666265 120.394985),36.0666265,120.394985
1,a0ad2c34-aff3-a974-a4ca-61003721ac93,SRID=4326;POINT(36.066639 120.394966),36.066639,120.394966
1,a0ad2c34-aff3-a974-a4ca-61003721ac93,SRID=4326;POINT(36.06664275 120.3949965),36.06664275000001,120.39499650000002
